	accession_number	organism_name	path
3800	DQ789390	Methylonatrum kenyense	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Methylonatrum
3801	EF103128	Natronocella acetinitrilica	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Natronocella
3802	LC225746	Sulfurivermis fontis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Thioprofundaceae;Sulfurivermis
3803	AF481118	Thioalkalispira microaerophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Thioalkalispiraceae;Thioalkalispira
3804	EU169227	Thiohalospira alkaliphila	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalospira
3805	EF117909	Thiohalomonas denitrificans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalomonas
3806	DQ836238	Thiohalomonas nitratireducens	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thiohalomonas
3807	EU837269	Thioalbus denitrificans	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Ectothiorhodospiraceae;Thioalbus
3808	JQ082140	Marinicella pacifica	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Gammaproteobacteria_incertae_sedis;Marinicella
3809	KU647740	Marinicella sediminis	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Gammaproteobacteria_incertae_sedis;Marinicella
3810	AB500095	Marinicella litoralis	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Gammaproteobacteria_incertae_sedis;Marinicella
3811	MK934324	Marinicella rhabdoformis	Bacteria;Pseudomonadota;Gammaproteobacteria;Gammaproteobacteria_incertae_sedis;Gammaproteobacteria_incertae_sedis;Marinicella
3812	AM990889	Pleionea mediterranea	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Pleioneaceae;Pleionea
3813	MK791303	Pleionea sediminis	Bacteria;Pseudomonadota;Gammaproteobacteria;Oceanospirillales;Pleioneaceae;Pleionea
3814	KU645983	Wenzhouxiangella sediminis	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella
3815	MN538893	Wenzhouxiangella limi	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella
3816	KM504518	Wenzhouxiangella marina	Bacteria;Pseudomonadota;Gammaproteobacteria;Chromatiales;Wenzhouxiangellaceae;Wenzhouxiangella
3817	EF988634	Salinisphaera dokdonensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
3818	AJ421425	Salinisphaera shabanensis	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
3819	AB735546	Salinisphaera japonica	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
3820	KY060012	Salinisphaera aquimarina	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
3821	JN020587	Salinisphaera halophila	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
3822	HM137558	Salinisphaera orenii	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
3823	EU740416	Salinisphaera hydrothermalis	Bacteria;Pseudomonadota;Gammaproteobacteria;Nevskiales;Salinisphaeraceae;Salinisphaera
